Contribution ID;Comment ID;Comment Subject;Comment Text;created (UTC);;
18;15;;Ich denke auch, dass die An- und Abfahrt dann nur noch aus bzw in Richtung Stadthausbrücke möglich ist über Ring 1 oder B4;2020-10-15T22:51:31Z;;
18;25;;Es ist vielleicht nicht die gewünschte Lösung, aber mein Vorschlag wäre, künftig die Bahn zu nehmen, sofern Sie es einrichten können - sonst hilft nur der Umweg. Umwege sind unangenehm, setzen aber die richtigen Anreize zur Verkehrsmittelwahl, auch wenn wenige Einzelne, die aufs Auto wirklich noch angewiesen sind, dann eben den Umweg fahren müssen.;2020-10-15T23:50:36Z;;
18;74;;Am einfachsten wäre links abbiegen von der Rathausstrasse in die Bergstrasse zu ermöglichen, aber soweit denkt der Senat ja nicht, weil er selber die Problematik nicht kennt.;2020-10-16T11:57:16Z;;
19;22;;Als Autobesitzer kann ich nur sagen, Sie scheinen ein Dinosaurier zu sein... wieso zur Hölle MUSS man mit dem Auto über den Jungfernstieg fahren??;2020-10-15T23:11:06Z;;
19;54;Antwort an Nr. 22;Zustimmung!;2020-10-16T09:45:40Z;;
19;121;Antwort an Nr. 22;Man könnte auch die Radfahrer vom Jungfernstieg verbannen, dann  ist dort noch mehr Platz zum flanieren.;2020-10-16T15:19:17Z;;
19;31;;Ich selber und viele Menschen die ich kenne fahren das ganz Jahr über Rad. An wirklich schlechtern Tagen kann man den ÖPNV nutzen oder eines der Zahlreichen Carsharing Autos. Die große Anzahl der Autos liegt ja auch an einer JAhrzenten nur auf Autofahrer ausgerichteten Politik. Während Tausende Kilometer Straßen gebaut wurden, wurden Tausende Kilometer Schiene zurückgebaut. Ausserdem gint es noch jede Menge Steuervergünstigungen, Abwrackprämier etc.;2020-10-16T06:14:57Z;;
19;417;Antwort an Nr. 31;"Allerdings werden die dann zurückgebauten Straßen Ihrer Meinung nach besonders bei schlechtem Wetter genutzt, mit ""Carsharing""-Fahrzeugen. Die werden dann wohl allerdings im Stau versinken und die Züge werden hoffnungslos überfüllt sein. Autos und der ÖPNV sind als Ganzjahresverkehrsmittel geeignet, das Fahrrad ist dagegen ein Schönwetterfortbewegungsmittel. Und dafür sollen massiv Flächen geopfert werden?";2020-10-25T13:05:42Z;;
19;616;Antwort an Nr. 417;"Man muss ja nicht gleich jede Hauptstraße auf zwei Spuren zurückbauen, sondern muss natürlich beachten, dass etwa im Winter etwas mehr Autos unterwegs sein werden. Aber während private Pkw ca. 23 Std./Tag nur rumstehen, haben Carsharing-Fahrzeuge deutlich geringere Standzeiten, sodass weniger Parkplätze benötigt werden. Durch eine Reduktion von Fahrbahnen und Parkplätzen bleibt somit mehr als genügend Platz für das Fahrrad, die Flächen werden also nicht ""geopfert"", sondern nur umgewidmet!";2020-11-01T18:22:19Z;;
19;32;;Die KFZ Steuer reicht bei weitem nicht die Folgeschäden des Autoverkehrs auszugleichen.;2020-10-16T06:16:01Z;;
19;398;Antwort an Nr. 32;Dafür gibt es dann auch die Mineralölsteuer.;2020-10-23T17:50:55Z;;
19;85;;Auto fahren ist okay aber das ÖPNV System in Hamburg ist so toll. Nutzen Sie es und schonen die Umwelt. Außerdem brauchen wir Bäume. Diese sollte man nicht sinnlos abreißen. Hamburg könnte noch viel mehr Grünflächen errichten.;2020-10-16T13:03:02Z;;
19;183;;Ich wohne im Hamburger Umland und besitze ein Auto. Ich würde dennoch nie im Leben auf die Idee kommen in die Hamburger Innenstadt mit dem Auto zu fahren! Ab in die Bahn und ganz entspannt in die Stadt rein gondeln. Dann hat man sogar noch Zeit, hier sinnlose Kommentare zu kommentieren...;2020-10-17T20:54:50Z;;
19;254;;Würde hier gerne einen Dinosaurieremoji posten...;2020-10-19T15:19:12Z;;
19;256;;ICH GLAUBE UNSER ENTTÄUSCHTER WÄHLER HAT EIN PROBLEM MIT DER FESTSTELLTASTE;2020-10-19T15:20:44Z;;
19;260;;"Zitat: ""Die Zahlen der zugelassenen PKW beweist: HAMBURG GEHÖRT DEN AUTOS"" Mich würde wirklich interessieren, wieviel mal mehr Fahrräder als Autos es gibt in unserer schönen Stadt. Hamburg gehört den Menschen, nicht den Autos. Komm damit klar.";2020-10-19T15:35:58Z;;
19;348;;"Immer mehr (auch hartbesoffene) Auto-/Motorradfahrer  stellen auf umweltfreundliche Verkehrsmittel oder auf das Fahrrad um. Der Wunsch ist sehr verbreitet, klimaneutral mobil zu sein. 
Die Umgestaltung des Jungfernstiegs ist ein klares Signal an Allen, die diesen Schritt noch nicht gewagt haben. Wenn Sie weiter an unsere Gesellschaft teilhaben wollen, müssen sie sich auch anpassen!";2020-10-22T16:18:12Z;;
19;378;Antwort an Nr. 348;"Wer hart besoffen ist, sollte auch unabhängig von der Ökobilanz lieber kein Auto oder Motorrad fahren ;-)";2020-10-23T13:07:19Z;;
19;361;;Es gibt keinen Rechtsanspruch auf Parkplatz im öffentlichen Raum;2020-10-23T08:11:54Z;;
19;481;Antwort an Nr. 361;Dies gilt auch für Fahrräder.;2020-10-28T11:36:29Z;;
20;197;;Der Valentinskamp muss bei der ganzen Maßnahme stärker berücksichtigt werden. Es bietet sich an, auch um zusätzliche Autoverkehre zu vermeiden, die Fahrradverbindung vom Johannes Brahms Platz zum Gänsemarkt zu verbessern - durch Fahrradstreifen.;2020-10-18T15:23:15Z;;
21;21;;Das Alsterhaus hat doch ein Parkhaus? Frag mich, wo du sonst immer geparkt hast, wenn du Großeinkäufe nicht schleppen wolltest?!;2020-10-15T23:08:22Z;;
21;55;;Auf dem Jungfernstieg gab es auch vorher keine Parkplätze...;2020-10-16T09:46:40Z;;
21;123;;"""Step in the shoes of the other"" sagt ein englisches Sprichwort. Leider gelingt das den meisten Bewahrern einfach nicht. Sonst würden sie drauf kommen, dass dem Auto langfristig nicht die Zukunft gehören kann, sondern neuen urbanen Mobilitätskonzepten. 
Wie wäre es mit einem Blick nach vorn, und dem Entwickeln konstruktiver Ideen, statt zu fordern alles müsse so bleiben wie es war. So wird dsa nix mit uns";2020-10-16T15:22:41Z;;
21;253;;Wenn es so nervt, mit dem Auto in die Innenstadt zu fahren, dann tu dir selbst und allen anderen doch einen Gefallen und nutze alternative Mobilitätsformen! Davon gibt es in Hamburg nämlich mehr als genug.;2020-10-19T15:17:04Z;;
22;20;;Step by step, man sollte die Rückendeckung der Mehrheit hinter sich haben und Erfahrungen sammeln, ehe man so einen großen Schritt geht;2020-10-15T23:06:26Z;;
24;252;;Im Gegenteil, wenn das Ganze zu zögerlich angegangen wird, steigen die Berufspendler erst recht nicht um. Dafür braucht es deutliche Anreize – positive wie negative!;2020-10-19T15:13:55Z;;
24;276;Antwort an Nr. 252;Berufspendler steigen um, wenn die Verkehrsmittel attraktiv werden, nicht, wenn man ihnen Hindernisse in den Weg stellt, anstatt das Geld in Subventionen für H2 Mobilität, E-Autos, und Fahrdienste wie Uber-Pool etc. zu investieren...;2020-10-20T09:03:59Z;;
24;275;;Berufspendler steigen um, wenn die Verkehrsmittel attraktiv werden, nicht, wenn man ihnen Hindernisse in den Weg stellt, anstatt das Geld in Subventionen für H2 Mobilität, E-Autos, und Fahrdienste wie Uber-Pool etc. zu investieren...;2020-10-20T09:03:37Z;;
25;19;;Die traurige Wahrheit ist, dass der Alsteranleger JEDEN Morgen gereinigt (entmüllt) wird...;2020-10-15T23:03:41Z;;
26;56;;oder eine Fahrspur je Richtung zum Radweg umbauen;2020-10-16T09:48:04Z;;
26;166;Antwort an Nr. 56;das fände ich auch gut!;2020-10-17T11:13:30Z;;
26;234;;"Nur mit der Ruhe, das kommt auch demnächst ;-)";2020-10-19T14:23:47Z;;
27;18;;Verstehe ich nicht. Es soll neue Behindertenparkplätze geben, die U-S Bahn ist bzw wird barrierefrei und die Busse sind es auch und es gibt wirklich überall Parkhäuser mit direktem Zugang zu den nun gesperrten Straßen... Sie können nun nur nicht mehr den Jungfernstieg hoch und runter fahren, wie genau schränkt das Ältere und Behinderte ein?;2020-10-15T23:01:05Z;;
27;152;;Mich interessiert die Menge des Radverkehrs über den Winter. Bisher gibt es Veröffentlichungen über stark zugenommenen Radverkehr über den Sommer und in der jetzigen Pandemiezeit. Ich erwarte einen starken Rückgang des Radverkehrs über den Winter, für den nun dermaßen viele Veränderungen vorgenommen werden, die z.T. auch noch gefährlich sind, wie die auf die Straße gepinselten Radfahrstreifen.;2020-10-16T20:28:20Z;;
27;250;;Wenn man sich die Beiträge durchliest, könnte man meinen, die Hälfte der Autofahrer sei Handwerker, alt oder gehbehindert. Ist ja süß, dass ihr euch ausnahmsweise mal um diese Leute sorgt, aber das Konzept beinhaltet bereits Vorschläge, wie man den Zugang zur Innenstadt für die genannten Gruppen sogar noch verbessern kann, etwa durch Sondergenehmigungen, den barrierefreien Ausbau des ÖPNV und neue Behindertenparkplätze. Mir drängt sich das Gefühl auf, dass dies nur vorgeschobene Argumente sind.;2020-10-19T15:11:27Z;;
28;169;;Ciao ciao. Gibt ja alle Läden noch in der Mönckebergstrasse :D;2020-10-17T13:59:59Z;;
28;249;;Ciao, Thorsten/Michael, oder wie Boomer wie auch sonst immer heißen!;2020-10-19T15:05:40Z;;
29;17;;Ich denke, das wäre sehr zum Nachteil des ÖPNV (Linienbusse)... aber vllt evaluiert man es ja im Übergangszeitraum einmal;2020-10-15T22:57:38Z;;
29;24;;Nette Idee, klappt aber leider nicht mit der nötigen Rücksichtnahme, wenn Großverkehr (Busse), Radler und Fußgänger zusammentreffen. Das haben die Versuche, z.B. im Niedersächsischen Bohmte deutlich gezeigt - und daher ist der Shared Space auch zurecht wieder in der Versenkung verschwunden.;2020-10-15T23:40:23Z;;
29;283;;Shared Space scheitert zu oft an der Tatsache, dass die übermotorisierten und übergewichten Kfz sich ihre Durchfahrt erzwingen. Von Lärm, Gestank, Emissionen und Platzverschwendung mal ganz abgesehen.;2020-10-20T13:48:33Z;;
30;27;;TOP - endlich mal!;2020-10-16T05:51:09Z;;
30;88;;Sehr schöne Einstellung :-);2020-10-16T13:07:38Z;;
31;9;;".""...............";2020-10-15T20:52:55Z;;
31;10;;U-Bahn, Bus.;2020-10-15T21:17:13Z;;
31;11;;oder Fahrrad kaufen, mieten, leasen;2020-10-15T21:17:29Z;;
31;13;;In dem Bereich befanden sich keine Dauerparkplätze, inwiefern werden also Angestellte in diesem Bereich nun daran gehindert, zur Arbeit zu kommen?;2020-10-15T22:44:49Z;;
31;28;;Der Bereich ist so klein und alle Parkhäuser bleiben zugänglich. Parkplätze gab es dem Bereich sowieso nicht. Eine Mobilitätswende ist es also wirklich nicht. Dafür müssten die Maßnahmen noch viel weiter gehen. Zum Beispiel eine City Maut die dann ein günstiges Sozial Ticket finanziert. Ausnahmen für Mobilitätseingeschränkte Personen.;2020-10-16T05:55:00Z;;
31;290;Antwort an Nr. 28;Ich bin für City-Maut und im Allgemeine eine Halbierung des KfZ-Verkehrs innerhalb vom Ring 1;2020-10-20T16:12:49Z;;
31;57;;Parkplätze gab es hier auch vorher nicht...;2020-10-16T09:50:02Z;;
31;83;;Doch! Verbannung motorisierten Individualverkehrs IST Mobilitätswende. Es ist die Abkehr vom egoistischsten aller möglichen Verkehrsmittel (wenn man mal vom Hubschrauber absieht). Und wenn ein Teil der Menschen seinen Egoismus nicht selbständig in den Griff bekommt und weiterhin auf Kosten Unbeteiligter sein Auto durch die Großstadt steuert, dann müssen solcherlei Dinge eben von oben entschieden werden. Zugunsten der Allgemeinheit, gegen einzelne Gestrige.;2020-10-16T12:43:33Z;;
31;309;Antwort an Nr. 83;Verbote, Verbote und noch mehr Verbote, ob sinnvoll oder wie in diesem Falle nicht. Fahrräder sind gegenüber später erfundenen Autos (sinnvoller Fortschritt) gestrig.;2020-10-20T17:56:02Z;;
31;321;Antwort an Nr. 309;Also ist alles, was später erfunden wurde, besser, nur weil es halt später erfunden wurde? Seltsame Argumentation...;2020-10-21T17:48:23Z;;
31;331;Antwort an Nr. 321;"Das Fahrrad ist nicht wetterfest (kommen Sie jetzt nicht mit wetterfester Kleidung) und im ÖPNV hat man nicht seinen festen Sitzplatz, alleine und in der Temperatur, die man will.
Klar ist das Auto das beste Verkehrsmittel und klar muss es sauberer werden. Aber der PKW im Allgemeinen ist wenn möglich immer die beste Wahl. Und der Willen zur angeblichen Verkehrswende spiegelt sich nicht in den Zulassungszahlen (auch in den Städten!) nieder. Der Siegeszug des Autos ist ungebremst.";2020-10-22T07:40:39Z;;
31;385;Antwort an Nr. 331;Sehr gut! Ich stimme Ihnen vollständig zu!;2020-10-23T17:04:38Z;;
31;442;Antwort an Nr. 331;"Na wenn der Siegeszug des Autos ungebremst ist, bräuchtet ihr ja nicht so viel Angst um eure Vormachtstellung auf der Straße haben! Und komm mir jetzt nicht mit dem Argument, Fahrverbote seien ja ""von oben"" diktiert. ""Die da oben"" sind demokratisch gewählt worden und zumindest die Grünen auch gerade WEIL sie das Automonopol auf der Straße brechen wollen. Und ja, auch der größere Partner (SPD) muss in einer Koalition Zugeständnisse an den Junior machen.";2020-10-26T07:57:56Z;;
31;86;;S-Bahn, U-Bahn, Bus, ein E-Scooter benutzen. Es gibt sooooo viele Möglichkeiten.;2020-10-16T13:03:55Z;;
31;137;;Sie haben völlig recht. Vielleicht sollten wir in das Mittelalter mit seiner erheblichen Wirtschaftskraft zurückkehren und mit Pferdefuhrwerken auf den Autobahnen fahren - die linke Symbolpolitik muss endlich aufhören.;2020-10-16T16:24:15Z;;
31;246;Antwort an Nr. 137;"Google mal ""Facepalm""!";2020-10-19T15:02:45Z;;
31;312;Antwort an Nr. 246;Vielleicht sollten Sie lieber argumentieren anstatt in die englische Sprache zu wechseln.;2020-10-20T18:52:09Z;;
31;322;Antwort an Nr. 312;Ich hab's versucht und das Gefühl, unter diesen Beiträgen kommentieren sowieso nur wir beide, aber ich geb's jetzt auf. Nicht weil ich Ihnen Recht gebe, sondern weil schlicht besseres zu tun habe, als Zeit und Energie darauf zu verwenden, Ihnen die Fakten zu präsentieren, die Sie dann doch ignorieren. Ich werde Sie ja leider doch nicht überzeugen können, also kann ich nur hoffen, dass Sie nicht allzu sehr verbittern, weil immer mehr Menschen mein Verständnis einer lebenswerten Stadt teilen.;2020-10-21T17:54:06Z;;
31;247;;Ehm, statt teurem SUV lieber ein Fahrrad kaufen? Stadtrad? S- und U-Bahn? Es gibt sooo viele Alternativen!;2020-10-19T15:03:42Z;;
31;332;Antwort an Nr. 247;"Das alles sind KEINE Alternativen.
Fahrrad -&gt; Nicht wetterfest
ÖV -&gt; Taktgebunden, nicht jederzeit verfügbar, egal ob 10 oder 100 km und zudem hat man seinen eigenen Raum, nicht wie im ÖV, wo man nie was, wer sich neben einen setzt oder vorher schon wer/was gesessen hat.

Es gibt keine gleichwertige Alternative zum Auto! Deshalb sind die Zulassungszahlen, übrigens auch in Hamburg, ungebremst.";2020-10-22T07:42:37Z;;
31;282;;Arbeitnehmer kommen zu ihren Arbeitsplätzen z.B. mit +Bus +U-Bahn + S-Bahn +RideSharing +Hafenfähre +zuFuß usw.;2020-10-20T13:41:33Z;;
32;46;;Ja! Natürlich muss diese Verbindung auch in Richtung Jungfernstieg für Radfahrer offen bleiben.;2020-10-16T08:33:40Z;;
33;81;;"recht sinnfreier Ablenkungsversuch...
Weil alle Fahrradfahrer böse sind, sollen Autofahrer weiter auf dem Jungfernstieg spazieren fahren. Doll!";2020-10-16T12:36:05Z;;
33;245;;Ja, es wird viel Geld in Fahrradwege gesteckt – aber erst neuerdings und viel zu spät! Und da ein Fahrradfahrer weniger Platz in Anspruch nimmt und die Infrastruktur naturgemäß nicht annähernd so stark abnutzt wie ein 2 t SUV, ist das Geld gut angelegt. Ja, es gibt schwarze Schafe unter den Radfahrern und Regelverstöße sollte konsequent geahndet werden. Häufig benutzen Radfahrer aber auch Fußwege oder Straßen, weil die Radwege unterdimensioniert oder in schlechtem Zustand sind.;2020-10-19T15:00:47Z;;
33;281;;Ich bin Fahrradfahrer und ich zahle ziemlich viel(e) Steuern.;2020-10-20T13:37:19Z;;
34;23;;"Zustimmung! Um eine Wendemöglichkeit am Ende der ""Sackgasse"" zu haben, sollte jedoch schon an einer geeigneten Wendestelle am Ballindamm Schluss sein.";2020-10-15T23:37:48Z;;
34;45;;Das sehe ich genauso. Die Bergstraße ist viel zu eng für motorisierten Individualverkehr und wird sehr häufig von Fußgängern gequert - nicht nur an der Kreuzung zur Mönckebergstraße.;2020-10-16T08:31:59Z;;
34;58;;"Ich finde, es sollte schon beim ""Alstertor"" für den MIV Schluss sein!";2020-10-16T09:52:05Z;;
34;95;;"Als Beitragsersteller stimme ich den Kommentaren zu, es wäre in der Tat noch besser, den Verkehr schon in Höhe Alstertor abzuleiten (wenden oder abbiegen). Ab dieser Höhe sollte eine Durchfahrt wie beschrieben bis Hermannstr. nur für Anlieger zulässig sein. 
Hoffentlich wird unser Vorschlag durch die Verantwortlichen hier gelesen.";2020-10-16T13:55:38Z;;
35;59;;Das wird wohl Konflikte mit den Bushaltestellen geben.;2020-10-16T09:52:50Z;;
36;60;;Die Ampeln werden auch nach jetziger Planung abgeschaltet und eine Mittelinsel errichtet...;2020-10-16T09:53:51Z;;
37;62;;Volle Zustimmung!;2020-10-16T09:54:12Z;;
37;65;;Ich finde, das Buse und Taxis das Recht haben müssen, natürlich mit Ausnahmegenehmigung wärhend der Öffnungszeiten der Geschäfte, auch die Fahrgäste direkt vor Ort abholen können dürfen. Selbstverständlich in Schrittgeschwindigkeit. Denken Sie bitte an die älteren gehbehinderten Menschen. Oder haben diese Personen nicht mehr das Recht, in die Innnenstadt reinfahren zu dürfen?;2020-10-16T11:18:50Z;;
37;143;Antwort an Nr. 65;Ein vorgeschobenes Argument: Das Taxi ist leider schon wegen des Fahrpreises kein Verkehrsmittel für einen gehbehinderten Durchschnittsrentner, um in die Stadt zu fahren. Taxi fährt, wer es sich leisten kann - oder, wenn die Firma zahlt. Es ist in Hamburg ein eher elitäres Verkehrsmittel und sicher nicht die Lösung für Inklusionsfragen.;2020-10-16T18:00:40Z;;
38;63;;Werden sie laut Planungen;2020-10-16T09:54:31Z;;
40;26;;Die meisten Innenstädte haben nur eine Fußgängerzone und dort wo Autos ausgesperrt wurden gingen die Umsätze sogar nach oben. Es kommt vielleicht zu einer Verschiebung der Geschäfte aber die Innenstädte sind eh im Wandel. Weg vom Kaufhaus und hin zur Erlebnissen. Für die Handwerker findet sich mit Sicherheit eine Lösung. Viele Handwerker setzen bereits auf Lastenräder und für die mit schwerem Werkzeug und Material kann man ja ausnahmen schaffen.;2020-10-16T05:49:09Z;;
40;36;;Motorisierter Individualverkehr (MIV) ist nicht gleich Lieferverkehr. Busse/Taxen und auch Handwerker sollen meines Wissens die Fahrbahn weiterhin nutzen können.;2020-10-16T06:58:33Z;;
41;34;;Es gibt viele Menschen die aus unterschiedlichen Gründen nicht gut zu Fuß sind. Sie brauchen die Bushaltestellen um z. B.  vom Jungfernstieg in die Mönckebergstraße zu kommen. Für sie wäre die Wegnahme dieser Bushaltestellen eine Beschneidung ihrer Bewegungsfreiheit. Auch die Nutzung von der U-Haltestelle Jungfernstieg bis zur Mönckebergstraße ist für diese Personengruppe nicht möglich, da es sich um zwei unterschiedlicher U-Bahnlinien handelt.;2020-10-16T06:31:23Z;;
41;243;;Durch die Sperrung für den MIV ist schon viel gewonnen und im Gegensatz zu den Autos sind Busse nun einmal unverzichtbar.;2020-10-19T14:52:48Z;;
43;29;;Die Parkhäuser bleiben ja erreichbar. Außerdem zeigen Beispiele aus anderen Städten das Umsatz, Frequentierung und Aufenthaltsdauer durch ein Aussperren von Autos zugenommen hat. Siehe zb. Wien. Die Abwanderung zum Online Handel gab es auch schon vorher. Die Innenstädte müssen sich wandeln. Mehr Gastronomie und mehr Erlebnisse. Zum Beispiel Umzug des Naturkundemuseums in die geschlossenen Galeria Filiale.;2020-10-16T06:03:20Z;;
43;35;;Wenn ich Gelegenheit habe am Rand zu parken freue ich mich auch als schwarz-gelber Ideologe über die Möglichkeit zu flanieren. Das wird den Geschäften gut tun. Ich sehe eher das Problem, daß ich am Jungfernstieg nicht mehr mein teures Auto zeigen kann. Das könnte die Autoindustrie schwächen.;2020-10-16T06:31:44Z;;
43;362;Antwort an Nr. 35;Was super ist. Und wenn wir das nochmehr in Deutschland machen sogar zu einer anderen Art des Zusammenlebens in der Zukunft führen könnte.;2020-10-23T09:15:04Z;;
43;47;;"Ich werde dann zukünftig ehr das Alstertaler EKZ frequentieren bzw. das zukünftige Shopping-Center in der Hafencity. Es gibt eine ganze Reihe an Menschen die weder Rad fahren wollen oder können, noch Lust haben sich in den Öffentlichen anpöbeln zu lassen. 
Ebenfalls rufe ich zum Boykott der Gastronomie auf, welche sich der neuen Aussenflächen bemächtigt. Wenn die Einzelhändler / Gastro wirklich den StatusQuo belassen wollen, nehmen Sie die neuen Flächen nicht in Anspruch!!!";2020-10-16T08:37:45Z;;
43;112;;Parkhäuser in der Gegend bleiben erreichbar. Ich könnte mir vorstellen, dass man zusätzlich am Rande der Zonen Parkzonen für Carsharing - Autos einrichtet. Somit wäre die Erreichbarkeit per Auto weiterhin gegeben. Ferner wären Fahrradständer sinnvoll.;2020-10-16T15:00:57Z;;
43;280;;Das Gegenteil ist der Fall. Etliche Studien belegen, dass der Einzelhandel und Gastronomie von Verkehrsberuhigung und Autofreiheit profitiert. Jüngst z.B. die Friedrichstraße in Berlin, weiterhin Paris, Wien, Kopenhagen, Utrecht, London uvm.;2020-10-20T13:12:11Z;;
43;356;;Zur Erinnerung, eine grüne Mehrheit im Bezirk-Mitte ist Volkswille. Es kann nicht sein, dass ein paar Geschäftstreibende, die nicht gewählt wurden, stets über die Stadt bestimmt haben. In jedem BID haben sie keine Rücksicht auf Bewohner genommen, die Bäume vergessen sogar einen Pseudo-Friedhof am Berg eingerichtet...;2020-10-22T16:51:56Z;;
44;33;;"Ich fahre ""als Frau"" seit Jahren in Hamburg unbehelligt mit dem ÖPNV.... auch nach Geschäftsschluss. Haben Sie es eigentlich mal ausprobiert oder sind das nur Befürchtungen?";2020-10-16T06:28:06Z;;
44;48;Antwort an Nr. 33;Laut der polizeilichen Kriminalstatiatik geht die Kriminalität seit Jahren zurück. Lassen Sie sich nicht mehr von der populistischen und angstmachenden Beiträgen der Bild Zeitung verunsichern.;2020-10-16T08:52:54Z;;
44;50;Antwort an Nr. 48;Statistisch gesehen werden Männer häufiger Opfer von Gewaltverbrechen, also seien sie sich ihres Privilegs bewusst.;2020-10-16T09:01:37Z;;
44;75;;Ich stimme Ihnen zu. Die Innenstadt wird durch die autofeindliche Symbolpolitik veröden. Die Kriminalität wird dramatisch zunehmen.;2020-10-16T12:00:15Z;;
44;241;;Gegenbeispiel Wandsbeker Chaussee: Autofreundlicher geht es nicht, trotzdem nur Ramschläden, Barbershops und Shishabars. Verödeter und verwahrloster Stadtraum. Autos machen eben nicht alles besser!;2020-10-19T14:48:35Z;;
46;41;;Als Berufspendler, der in der Innenstadt arbeitet und ernst genommen werden möchte, fahre ich mit der Bahn in die Stadt. Punkt.;2020-10-16T08:05:33Z;;
46;171;;"Man könnte auch einfach mit der Bahn in die Stadt fahren...
Und wenn nicht: Parkhäuser gibt es reichlich.";2020-10-17T18:45:02Z;;
47;40;;Wir werden Dich vermissen!;2020-10-16T08:04:45Z;;
47;51;Antwort an Nr. 40;Ich komme zurück mit meinem massiv goldenen E-Bike 😂;2020-10-16T09:05:06Z;;
47;124;;In den Suburbs, da wo du außer deinen Bros niemanden belästigst :-);2020-10-16T15:24:42Z;;
48;37;;Mehr Fahrzeuge kaufen und Fahrer anstellen, damit vor 11 geliefert werden kann?;2020-10-16T07:29:53Z;;
