Contribution ID;Comment ID;Comment Subject;Comment Text;created (UTC)
7;200;Antwort an Nr. 70;… als ob es keine heimischen Straßenbäume gäbe. Schau mal die 'Straßenschluchten' in anderen Quartieren. Da wachsen sogar Platanen.;2020-10-06T11:20:07Z
7;220;Antwort an Nr. 56;Sind solche Bäume in den Plänen nicht einfach obligatorisch?;2020-10-07T18:12:38Z
7;285;Antwort an Nr. 70;Das möchte ich auch gern wissen: was wird gerodet, was wird neu-gepflanzt ? Und wir wissen ja alle: eine 1:1 Quote ist längst nicht ausreichend, um die Filtereigenschaften von alten Bäumen auszugleichen.;2020-10-11T13:08:25Z
7;98;;Wird es Bootsanleger etc. geben, u.a. für gewerbliche Zwecke mit Strom- und Wasseranschlüssen?!;2020-10-03T13:02:39Z
7;169;;"Es muss unbedingt eine weitere Querung über die Billhorner Brückenstraße kommen. Am besten Neuer Deich rüber zum Brandshof-Bereich.

Ansonsten gefallen die Entwürfe sehr. Es kann nur besser werden!";2020-10-04T15:28:50Z
7;228;Antwort an Nr. 169;Sehe ich auch so, dass eine weitere Überquerung geplant werden sollte. Neuer Deich zu Brandshofer Deich wäre sinnvoll. Es fehlt bisher an genügenden Verbindungen zu Fuß oder Rad etc. zwischen den beiden Seiten rechts und links der B75.;2020-10-08T12:29:02Z
7;198;;"Die Öffnung des Tunnels nach Süden hin und die Belebung dessen mit Ladengeschäften macht diesen heller, sicherer und somit attraktiver.

Gut finde ich die klare Einfassung der Straße durch Blockrandbebauung. Dies signalisiert Urbanität und schützt die dahinterliegenden Quartiere vor Lärm";2020-10-06T11:16:19Z
7;245;Antwort an Nr. 198;Am besten Hochhäuser mit Gewerbeflächen/Büroflächen für den Lärmschutz.;2020-10-10T12:17:20Z
7;199;;"Der breite Straßenraum verträgt punktuell höhere Gebäude, besonders an den Ecken, wo Straßen abzweigen.
Dort wäre eine etwas andere Architektur als die des Würfenhustens wünschenswert.
Generell wünsche ich mir die Abkehr vom Backstein-Dogma und mehr Mut in der Fassadengestaltung.";2020-10-06T11:18:30Z
7;246;Antwort an Nr. 199;"Ja, dieses neue Areal darf sich nicht in Backsteinfassaden blicken lassen. Ich wünsche mir endlich mal was modernes. 

Und 90-120m Hochhäuser wären auch hier sehr passend und vor allem: Erwünscht! Kann doch nicht sein, dass man das man die hohen Tendenzen vom Ort ignoriert.

Und ja, die elphi verliert keine Anerkennung, wenn höhere Gebäude(außer dem Elbtower) gebaut werden!";2020-10-10T12:19:55Z
7;209;;"Mit der geplanten Bebauung des östlichen Kleeblattes,versperrt man den Rothenburgsortern einen riesigen Frischluftkanal .Klimaforscher warnen vor einer Überhitzung der Städte wenn die Temparaturen steigen .
Beim Zukunftsorientierten Bauen ,sollte man Frischluftkanäle erhalten oder schaffen .Gleichermaßen 
müssen freie Flächen bleiben .Der Grüngürtel am östlichen Rand der Brückenstrasse bildet ja jetzt schon
einen Immission und Emissionschutz.";2020-10-07T10:12:58Z
7;247;Antwort an Nr. 209;Die geplanten Hochhäuser bringen schon die gewünschte umluft-Bahnen. Mach dir da mal keine Sorgen.;2020-10-10T12:21:35Z
7;236;;Das Mercedes-Gebäude ist absolut fürchterlich und nicht repräsentativ. Hier wäre ein höheres, größeres und moderneres Gebäude schön, dass sich als Solitär zwischen die beiden Straßen schiebt. Ein höheres Gebäude hätte einen positiven Effekt auf die Raumwirkung und könnte zu der angestrebten Dichte, Kompaktheit und Urbanität beitragen. Auf diesen Darstellungen wirkt der Raum sehr weitläufig und locker, was maßgeblich dem Größenverhältnis der Bebauung zu den angrenzenden Straßen geschuldet ist.;2020-10-09T09:27:29Z
7;248;Antwort an Nr. 236;"Stimme dem ganz zu! Vor allem neben anderen geplanten Hochhäusern und dem Elbtower seitlich, darf sich dieser Schandfleck echt nicht mehr zeigen lassen.

Vor allem ist es der optimale Standort zwischen zwei extrem befahrenen Straßen und man würde den Geräuschpegel deutlich senken.";2020-10-10T12:23:39Z
7;249;Antwort an Nr. 248;Also da kann ruhig noch ein 100m Max. Gebäude hin;2020-10-10T12:24:14Z
7;250;;Ich hoffe das Hochhaus im Hintergrund, wird sich so in der 100m Marke befinden.;2020-10-10T12:25:46Z
7;338;;Wieso sind azf dem Grundriß die Schattenwürfe der Gebäude völlig unsinnig und irreführend dargestellt? Seit wann steht die Sonne im Nordosten hoch am Himmel?;2020-10-30T08:22:46Z
7;367;;"Rothenburgsort ist von der einen Seite von der Elbe,und von der anderen Seite von den 
Bahnschienen begrenzt .Es gibt nur drei Zu und Abfahrten.Die Ausschläger Allee bei
Tiefstack ,der Billhorner Deich mit der maroden Bahnbrücke.Und die Großzügige
Ein und Ausfahrt  über die Billhorner Brückenstr. Und diese will man jetzt verkleinern..
Das Verkauft man  als Öffnung zur Hafencity.Die Rothenburgsorter werden dadurch
weiter eingeengt.Der  langsamere Abfluß des Verkehrs sorgt für schlechtere Luft.";2020-11-01T15:46:17Z
7;369;;"Keinen Sinn für Romantik. Man zerstört ein wundervolles Ambiente. Der Turm auf der großen   
Wiese mit altem Baumbestand, bildet  einen Sicht und Lichtblick für die Rothenburgsorter.
Die Bäume haben ca. ein Alter von 70 Jahren und haben sich der Umwelt angepaßt.
Statt sich darüber zu freuen, will man diese alten Bäume opfern. Und das Denkmal
Zombek-Turm (Lunaturm) wird nicht mehr von allen Seiten sichtbar sein. Schade!";2020-11-01T16:29:01Z
8;11;;"Das Gebäude zwischen Brandshof und Billhorner Brückenstraße ist Schrott und häßlich. Das soll weg. Gern ersetzen durch in den hang integrierte kleinere Läden und Gastronomien. Die sind oben gern begrünt und ""unsichtbar"" von der Straße aus, aber bieten spannende Einblicke vom Hafenbecken aus. Ggf müssen di ebesodners hochwassergesichert sein, damit die Nutzung funktionieren kann.";2020-10-02T19:55:56Z
8;26;;Die neue Brücke ist sehr gut!;2020-10-02T21:25:20Z
8;32;;Brücke zur S-Bahn ist gut. Der Löschplatz ist als Freiraum aber so weit es geht zu erhalten.;2020-10-02T22:16:27Z
8;63;;"Ich finde dieses Visualisierung sehr gelungen, man hat hier einen zentralen Versammlungsort, welcher allzu einladend wirkt und die Brücke bindet die vorher 3 getrennten Areale und hat Potenzial, es zu einem neueren, favorisierten Weg zu machen, anstatt an der Autobahn vorbei zu gehen.

Das hintere Hochaus als Lärmschutz(sozusagen Lärmgardine)für die nebenliegende S und U-Bahn ist ebenso sehr gelungen.
Wenn man Hochhäuser für so bedacht einbaut, kann man meiner Meinung ruhig mehr bauen(Charme)";2020-10-03T09:42:02Z
8;64;Antwort an Nr. 63;"Ich finde im allgemeinen, das dieses Areal bisschen was Newyork Ähnliches hat, wenn man hereindringt auf der Autobahn.

Rechts sieht man die Stadt hervor wölben und wachst einem richtig ins Auge.

Da hätte man meiner Meinung mehr einen internationalen Charme hineinführen können, mit sowas wie einer mini-Skyline(Max 110m)aber trotzdem mit einem fairen Schwerpunkt im Falle Ästhetik.

Danke fürs zuhören.

(Bin aus Altona)";2020-10-03T09:46:13Z
8;84;Antwort an Nr. 64;Die Mini-Skyline war ja die Idee mit dem Cobe-Entwurf der jetzt wieder gestrichen wurde. Anscheinend sehen die Entscheidungsträger der Stadt nicht das in der Stadt, was jeder andere wahrnimmt. New York als Vergleich ist vielleicht übertrieben, aber die Ecke ist defintiv urban und zudem stark verkehrsbelastet. Da hätte man ruhig mal ein paar Dinge ausprobieren können. Der Gitarrist auf dem Render, würde sich selbst vor lauter Verkehrslärm doch gar nicht hören. Gemütlich wird die Ecke wohl kaum;2020-10-03T11:11:26Z
8;93;Antwort an Nr. 84;"Deswegen ja ein Hochhausquartier(zumindest nah an der Straße) um sozusagen einen Lärmschutz(Vorhang) zu bilden.

Diese Ecke hätte ein schöne urbane Ecke sein sollen, wo Hamburg endlich was internationales bekommt und die großen Prachtgebäude zur Vorschau zeigt. Mal wieder enttäuscht vom Hamburger Senat, solch ein Potenzial zu vergeuden.

Da werden so oder so nicht Menschenmassen rum laufen. 

Es wird sich nicht viel zu heutzutage verändern und ich spüre es schon(tote Ecke incoming)";2020-10-03T12:36:58Z
8;94;Antwort an Nr. 84;"Ich finde ja deswegen das andere Gewerbeflächen von lebendigen ihn Hamburg einfach nach elbbrücken ziehen und an den ehemaligen Orten der Büroflächen einfach mehr Wohnquartiere kommen.

Elbbrücken sollte meiner Meinung nach Gewerbe/Vorzeige Ecke werden von Hamburg, da durchaus Wind nach oben ist an so einer Position.

Aber mal sehen was sich tun wird und bin ganz deiner Meinung.";2020-10-03T12:38:50Z
8;118;Antwort an Nr. 93;Sicher. Ich befürworte in dieser Umgebung absolut einen Hochhaus-cluster. Das würde den Osten und Süden der Stadt urbanisieren und die Stadtteile zusammenführen.;2020-10-03T17:01:33Z
8;144;Antwort an Nr. 118;"Hoffen wir einfach das beste und das die Regierung endlich mal einsieht, was wir Bürger wirklich wollen und es auch „umsetzen“!

Echt schade für so eine bedeutsame Fläche, dass man sie nicht vorteilhaft nutzt.";2020-10-03T21:05:54Z
8;152;Antwort an Nr. 118;"Ich stimme ihnen zu, neben dem elbtower fehlt mir auch ein neues hochhaus, welches vielleicht 120m bis 130m ist und somit noch kein Wolkenkratzer ist, aber definitiv die Elphilharmonie übertrifft.

Bei so einem mega Projekt sollte ja schon mehr rauskommen als nur „ein“ höchstes Gebäude. Die Elphi kann ruhig abgelöst werden, ihr Status und Relevanz würde sich dadurch so oder so nicht verändern.";2020-10-04T07:05:06Z
8;161;Antwort an Nr. 64;Die Elbbrücken sind Hamburgs Canary Wharf und der Vergleich mit London zudem passender als der mit New York. In London verlor der Hafen auch irgendwann an Bedeutung, so wie der Hafen in Hamburg. In London war auch der Ostteil der Stadt industriell geprägt und ärmeres Gebiet. Die Bebauung mit Wolkenkratzern an Canary Wharf war der richtige mutige und offensiv gestalterische Schritt den London in den 1980er Jahren gegangen ist. 40 Jahre später könnte Hamburg ja mal nachziehen;2020-10-04T11:27:54Z
8;162;Antwort an Nr. 94;"Nein, bitte keine ""Gewerbe-Ecke"" mehr! Es wird Zeit das diese hamburger Unkultur auffhört, wo man völlig einseitige Stadtteile aus dem Boden stampft. 
Hier die City Nord und Hammerbrook mit Büros, dann die Wohnsiedlungen wo auschließlich gewohnt wird, dann die Gewerbesiedlungen-Mischnutzung, das ist der gute Teil der älteren Vergangenheit und hoffentlich die Zukunft";2020-10-04T11:32:06Z
8;166;Antwort an Nr. 161;"Ganz der selben Meinung. Man hätte hier neben dem Elbtower ein max. halb so hohes Gebäude hinbauen können.

Ich meine der Elbtower an sich ist ja schon ei no einmaliges Projekt in Hamburg und da darf man auch nicht rummäckern, wenn man dieses Mega Projekt noch kompletter gestaltet mit einem zweiten Hochhaus

Wenn man schon sowas startet dann bitte auch richtig wie es bei COBE der Fall war.";2020-10-04T15:14:20Z
8;167;Antwort an Nr. 162;"Ja aber sei mal ehrlich, ein allein Stehender Elbtower wirkt auch nicht sehr einladend und es ist ja auch nur ein Einzelfall wenn man noch diesen Hotel oder Büroturm von COBE neben an baut. Vielleicht ziehen ja Firmen aus der City Nord aus und ziehen beim Turm neben dem Elbtower ein? Dann kann man mehr Wohnraum in die City nord bauen, welches von weniger Lärmbelastung und Luftverschmutzung betroffen ist als bei den Elbbrücken.

Citynord ist eh lebenswerter als neben Zügen, Busen und Autos.";2020-10-04T15:17:40Z
8;168;Antwort an Nr. 162;"Man könnte auch sagen, dass es ästhetisch und symbolisch wirkt, wenn es zwei Hochhäuser sind.

Elbtower + COBE Turm

Die beiden Gebäude zusammen und vereint symbolisieren die Verbindung zwischen dem Osten und dem Westen und wirken gemeinsam warm und einladend, anstatt einfach nur eines hohes und isoliertes Gebäude(kalt)

Sozusagen als Symbol der „Verbrüderung“(kleiner und großer Bruder)zwischen dem Osten und Westen

Ich finde deshalb COBE‘s Modell sehr ansprechend an so einem Lauten Ort^";2020-10-04T15:26:09Z
8;172;Antwort an Nr. 168;Definitiv! Gibt dem Elbtower doch endlich ihr kleines Geschwisterlein!(^-^);2020-10-04T15:39:13Z
8;252;Antwort an Nr. 172;"Einfach hoffen und beten, dass die Stadt endlich mal ihre Bürger/inne erhört.

Die Vergeudung von solcher hohen Bebauung, ist einfach katastrophal.";2020-10-10T12:32:44Z
8;91;;Die Brücke als Verbindung ist super. Vielleicht kann man die Brücke selbst auch interessant gestalten, zB mit Bänken, Möglichkeiten für Angler, oder zumindest ein paar Blumenkästen?;2020-10-03T12:31:29Z
8;234;Antwort an Nr. 91;Es gibt in der HafenCity neben der Universität bereits eine Brücke mit integrierten Sitzgelegenheiten. Leider werden diese bisher kaum genutzt, da die Ecke sehr laut und ungemütlich ist. Hier wäre sicherlich ein ähnliches Konzept denkbar und sinnvoller als an der HafenCity Uni/Baakenhafen, da es sich hierbei um eine Fußgängerbrücke handelt. Ich finde die Idee sehr gut.;2020-10-09T08:21:11Z
8;253;Antwort an Nr. 234;"Das ist hier halt viel lauter als in der Hafencity.

Bahnen und Autos sind nur paar Meter entfern... Macht keinen Sinn.";2020-10-10T12:33:47Z
8;92;;Dass der cool aussehende Kran erhalten bleibt, ist super. Wäre schön, wenn man für die Fläche Richtung Elbbrücken eine weitere Nutzung findet, bei der der Lärm nicht so schlimm ist und die sich ins urbane Bild einfügt. ZB ein Basketball- oder Bolzplatz oder einen Skatepark?;2020-10-03T12:35:53Z
8;254;Antwort an Nr. 92;Oder einfach den Lärm verringern mit einem leichten Hochhaus Cluster? Dann könnte man viel sinnvollere Projekte ansteuern, nachdem es ruhiger ist.;2020-10-10T12:34:41Z
8;95;;Könnte man nicht ins Hafenbecken noch einen Bootsanleger bauen und die Haag-Fähre 72 weiter durch die HafenCity und bis zu den Elbbrücken fahren lassen? Oder alternativ einen kleinen Marina für privat Boote dort hinbauen;2020-10-03T12:41:41Z
8;96;;Wird es Bootsanleger etc. geben, u.a. für gewerbliche Zwecke mit Strom- und Wasseranschlüssen?!;2020-10-03T13:02:22Z
8;214;Antwort an Nr. 96;Das ist eine wirklich coole Idee!;2020-10-07T17:44:16Z
8;255;Antwort an Nr. 214;bootsanleger Elbtower ist ja schon direkt neben an;2020-10-10T12:35:32Z
8;115;;"Oh, bitte nicht schon wieder so eine (Kopf-)Steinpflaster-Wüste wie es sie zu Hauf in der HafenCity gibt. 
Was dieser historische aber auch unwirtlichen Ort dringend braucht ist Aufenthaltsqualität und die hat Kopfsteinpflaster, Beton und Straßenlärm nun mal nicht.
Gefragt ist hier ein völlig anderes Konzept, und nicht ein Verstecken hinter „historischer Industrie Standort „";2020-10-03T16:35:12Z
8;128;Antwort an Nr. 115;"Ganz der Meinung, bei so einem Ort kann die Industrie ruhig ausweichen.

Vor allem wenn sie I unspektakulär ist wie dort. Das würde keinem auffallen wenn da was fällt, außer vielleicht der Löschplatz Kran, aber der wird ja eh erhalten.

Als zentralen/Prominenten Bindepunkt zwischen Westen-Osten und Stadteingang  hätte man hier ruhig paar mehr Hochhäuser bauen können laut dem COBE-Architektenhaus.

Die wussten ganz genau was für ein Potenzial dieses Areal hat...";2020-10-03T20:22:36Z
8;129;Antwort an Nr. 115;"Keiner möchte diese Industrie Ruinen sehen, wenn man diese Stadt aus der Ferne betritt... und erst recht nicht wenn sie so aussieht wie derzeitig vor Ort(das sind halt echt unschöne Anblicke im Vergleich zu anderen Bereichen in Hamburg).

Wenn man als Tourist oder als Bürger durch die Autobahn(Oder Gleisen) kommt möchte man doch ein Cluster aus Hochhäusern sehen und sich denke „Ja hier in Hamburg! Hier findet richtiges urbanes Leben statt!“ und nicht „was für ein ödes Eintreffen“...";2020-10-03T20:26:22Z
8;146;Antwort an Nr. 115;"Sehe ich anders. In Rothenburgsort hat kaum etwas den Krieg überlebt. Dieses 20er-Jahre Ensemble ist eine der ganz wenigen Brücken in die Vergangenheit, die der Stadtteil noch hat. Ein bisschen zurechtgemacht und in ein aufgewertetes Umfeld eingebunden, könnte die Bauten zum Idendifikationspunkt werden. 
Kopsteinpflaster: Sieht einfach viel besser aus als Asphalt oder Beton.
Mein Kritikpunkt wäre hier einfach fehlende Dichte. Gerne auch ein Hochhaus mehr.";2020-10-04T05:00:28Z
8;149;Antwort an Nr. 146;"Stimmt, ein oder paar Hochhäuser mehr würden es nicht so leer aussehen lassen, dass sind halt nur eher kleinere Gebäude die weit auseinander stehen und sowas geht meiner Meinung garnicht.

Ich sehe so keine Urbanisierung oder zumindest ein Bereich dieses Quartier lebendiger zu machen. Mit dem Elbtower hat man ja schon ein weit sehbares Wahrzeichen, aber man kann ruhig noch andere Max 110m Gebäude hinhauten um es dichter zu machen und einen Kontrast zum eleganten elbtower zu bilden-&gt;miniSkyline";2020-10-04T06:51:11Z
8;150;Antwort an Nr. 149;Wenn man die Industrieruinen neben den modernen Hochhäusern „angemessen“ gestaltet, hätte ich auch kein Problem damit, aber in den derzeitigen Visualisierungen sehr ich es grad kaum.;2020-10-04T06:52:20Z
8;151;Antwort an Nr. 146;"Joah, ich stimme euch mal zu, dass der elbtower nicht umgeben ist von Hochhäusern ist bisschen traurig.

Ich würde ebenso gerne ein dichter bebautes Areal sehen, wo man nicht nur den elbtower als einzelnes Gebäude fotografieren kann, sondern auch andere hohe Gebäude(müssen nicht alle über 100m Marke  sein) sehen, die dann nochmal den Elbtower und dieses Plätzchen betonen, also neben oder im Hintergrund vom elbtower. Vielleicht sogar den elbtower mit ihrer nichtmal halb so hohen Höhe ummanteln.";2020-10-04T06:57:39Z
8;235;Antwort an Nr. 151;Sehe ich ganz genauso. Mehr Mut zur Dichte an dieser Stelle!;2020-10-09T08:26:47Z
8;243;Antwort an Nr. 235;"Genau! So Lob ich mir mein Hamburg! Alles hat seinen Platz und bei Neubauten wird erstmals auf die Gegebenheiten des Standortes geachtet.

Hier schreit es ja praktisch danach, dichter und höher zu bauen. Diese Luftverschmutzung und der Lärm wurde anscheinend bei den derzeitigen Plänen nicht mit einbezogen.

Für die da “oben” gilt nur “alles möglichst voll mit Leben füllen, egal welcher Standort” Schluss damit! 

Mal hoffen, dass sie uns, die Bürger... Hören!";2020-10-09T16:27:03Z
8;126;;Ein paar Sitz- und ggfs. auch Liegegelegenheiten am Wasser wären wünschenswert. Eventuell auch ein paar Bootsanleger?;2020-10-03T20:00:11Z
8;130;Antwort an Nr. 126;"Bootsanleger „Elbtower“ kommt auf die andere Seite. 

Laut der Stadt.";2020-10-03T20:27:46Z
8;173;;"Das COBE Modell wollte Elbbrücken zur einer prachtvollen Vorzeige-Ecke(Hoher Turm und Elbdome, direkt neben dem Elbtower)und sinngemäß genutzten Areal machen.

Bei der Lärmbelastung wird es schwer mit den anderen zwei Finalisten und so lebendig kann es trotz Bemühung nicht werden.

Es liegt nun mal neben Autobahnen und Eisenbahn-Strecken.

Andere Städte sind da und voraus und bauen an solche „Laute-Brücke-Areale“ bewusst nur Büroflächen und senken den Lärm für naheliegende Gebiete.";2020-10-04T15:44:30Z
8;189;;"Einfach COBE‘s prachtvolles Modell anpassen und den Elbdome auslassen.

Das große Hochhaus rückt nach hinten, sowie die Wohnquartiere es tun und dann muss man auch keine Wasserflächen bebauen.

Simple Lösung, man muss aber halt auch den Architekten-Büro die Möglichkeit geben, ihr Modell zu überarbeiten und zu optimieren.

Nur so kommt man dann auf den gemeinsamen Nenner und es wäre zutiefst höflich, wenn sie sich überhaupt nochmals die Mühe geben, alles passend zu bearbeiten.";2020-10-05T20:33:00Z
8;192;Antwort an Nr. 189;"Wäre echt eine prachtvolle Geste von deren Seite aus.

Den dieses Modell war meiner Meinung nach auch am schönsten von den dreien. Ich wette dann werden sie auch den Billhafen als schöneren Park gestalten können, im Vergleich zu der derzeitigen Konkurrenz.";2020-10-05T20:36:37Z
8;318;;Mehr grün, weniger Pflaster;2020-10-20T07:38:59Z
9;10;;Hier müssen auch Sportflächen entstehen.;2020-10-02T19:53:23Z
9;25;;"Es sollte nicht heißen ""Hier KÖNNEN neben Gewerbenutzungen auch temporäre Ausstellungsräume, Kreativbüros oder kleinteilige Produktionsstätten untergebracht werden"", sondern ""Hier WERDEN neben Gewerbenutzungen auch temporäre Ausstellungsräume, Kreativbüros oder kleinteilige Produktionsstätten untergebracht.";2020-10-02T21:23:33Z
9;108;Antwort an Nr. 25;"Lieber Gewerbenutzung anstatt kreativbüros.

Wer kreativ Büros will, ist bei elbbrücken eh falsch und man möchte sowas doch nicht vorzeigen?

Ich finde gut, dass die Industrie und die Gewerbeflächen dieses Areal dominieren sollen.";2020-10-03T15:57:54Z
9;230;Antwort an Nr. 25;Das sehe ich ganz genauso. Der Planungsschwerpunkt sollte von einer gewerblichen Nutzung hin zu Kunst und Kultur! Insbesondere vor dem Hintergrund des Mangels derartiger Angebote und Nutzungsmöglichkeiten in der HafenCity.;2020-10-08T13:28:23Z
9;231;Antwort an Nr. 108;Sind Ihnen Kulturstätte etwa nicht repräsentativ genug? Seelenlose Orte mit gewerblicher Nutzung gibt es doch bereits haufenweise. Lebenswerte Räume werden durch eine gesunde Mischung charakterisiert, auf mich wirkt es  jedoch so, als wolle man hier hauptsächlich neues Gewerbe unter dem Deckmantel von Kunst und Kultur etablieren.;2020-10-08T13:36:25Z
9;30;;Nice, das heißt dann wohl, dass ich in einigen Jahren nicht mehr in meiner Wohnung wohnen werden darf? Der komplette Straßenzug Brandshofer Deich muss so erhalten bleiben wie er ist;2020-10-02T22:06:33Z
9;109;Antwort an Nr. 30;"Wer nichts ändert kann auch kein Fortschritt erzielen, wir müssen Grundflächen effizienter benutzen, manche Wohngebäude kosten einfach zu viel Platz und man hätte stattdessen größere/weitflächigere Wohngebäude bauen können.

Ich denke mal deine Wohnung ist auch nicht Denkmalgeschützt.

Schlecht gelaufen.";2020-10-03T15:59:59Z
9;178;Antwort an Nr. 109;Denkmalschutz hilft in Hamburg auch nichts, siehe City Hof etc.;2020-10-04T19:42:12Z
9;31;;Der Brandshof ist gerade so charmant, weil eine Mischnutzung aus Wohnen, Gewerbe und Freiflächen (Löschplatz!!) besteht. Der Entwurf würde den Brandshof in eine zweite Hafencity verwandeln: Steril, langweilig und unpersönlich. Das Kleeblatt muss überarbeitet werden, keine Frage, gerne mit günstigen Wohnungen. Aber den Brandshofer Deich bitte nicht anfassen.;2020-10-02T22:13:41Z
